id,name,address,location_id,latitude,longitude,stars,rating,reviews_count,min_price,distance_to_center,property_type,photos_count,amenities,badges,popularity,popularity2,trending_speed,weights,district_name,nearest_airport,nearest_metro_station,nearest_train_station,nearest_beach
1917231887,,"Общинная улица, 15","Сочи, Россия",43.399525,39.96938,0,0.0,0,0,28842,HOTEL,13,[],,24460,0,0.0,0.31824237,Сочи - Адлерский район,5940.0,,,288.0
1917221086,,"Защитников Кавказа улица, 78/4","Сочи, Россия",43.678295,40.211693,0,0.0,0,0,40981,HOTEL,9,[],,24459,0,0.0,0.31824237,Неизвестный район,33560.0,,,496.0
1917229335,,"Общинная улица, 52","Сочи, Россия",43.397724,39.97355,0,0.0,0,0,29221,HOTEL,5,[],,24458,0,0.0,0.31824237,Сочи - Адлерский район,6258.0,,,282.0
1917696793,,"Урицкого улица, 16/1","Сочи, Россия",43.39092,39.98358,0,0.0,0,0,30330,HOTEL,3,[],,24457,0,0.0,0.31824237,Сочи - Адлерский район,7297.0,,,209.0
1917696795,,"Урицкого улица, 16/1","Сочи, Россия",43.39092,39.98358,0,0.0,0,0,30330,HOTEL,3,[],,24456,0,0.0,0.31824237,Сочи - Адлерский район,7297.0,,,209.0
1917696615,,"Урицкого улица, 16/1","Сочи, Россия",43.39092,39.98358,0,0.0,0,0,30330,HOTEL,3,[],,24455,0,0.0,0.31824237,Сочи - Адлерский район,7297.0,,,209.0
1917696792,,"Урицкого улица, 16/1","Сочи, Россия",43.39092,39.98358,0,0.0,0,0,30330,HOTEL,4,[],,24454,0,0.0,0.31824237,Сочи - Адлерский район,7297.0,,,209.0
1917227645,,"Попова улица, 19","Сочи, Россия",43.391796,39.984715,0,0.0,0,0,30325,HOTEL,5,[],,24453,0,0.0,0.31824237,Сочи - Адлерский район,7255.0,,,340.0
1917696796,,"Урицкого улица, 16/1","Сочи, Россия",43.39092,39.98358,0,0.0,0,0,30330,HOTEL,3,[],,24452,0,0.0,0.31824237,Сочи - Адлерский район,7297.0,,,209.0
1917697926,,"Урицкого улица, 16/1","Сочи, Россия",43.39092,39.98358,0,0.0,0,0,30330,HOTEL,5,[],,24451,0,0.0,0.31824237,Сочи - Адлерский район,7297.0,,,209.0
1917697781,,"Волоколамская улица, 2","Сочи, Россия",43.67885,40.20019,0,0.0,0,0,40100,HOTEL,10,[],,24450,0,0.0,0.31824237,Неизвестный район,33013.0,,,1368.0
1917696794,,"Урицкого улица, 16/1","Сочи, Россия",43.39092,39.98358,0,0.0,0,0,30330,HOTEL,3,[],,24449,0,0.0,0.31824237,Сочи - Адлерский район,7297.0,,,209.0
1917230883,,"Крамского улица, 8","Сочи, Россия",43.39293,39.983894,0,0.0,0,0,30189,HOTEL,4,[],,24448,0,0.0,0.31824237,Сочи - Адлерский район,7113.0,,,411.0
1917230801,,"Хуторская улица, 56","Сочи, Россия",43.41157,39.96236,0,0.0,0,0,27491,HOTEL,24,[],,24447,0,0.0,0.31824237,Сочи - Адлерский район,4485.0,,,1391.0
1917231712,,"Цимлянская улица, 7/3","Сочи, Россия",43.391853,39.979595,0,0.0,0,0,30030,HOTEL,7,[],,24446,0,0.0,0.31824237,Сочи - Адлерский район,7057.0,,,99.0
1910167758,"Турбаза ""На реке Шахе"" на 14 номеров","Черкесский, 13","Сочи, Россия",43.794746,39.47413,0,0.0,0,0,30585,HOTEL,24,[],,24445,0,0.0,0.31824237,Неизвестный район,53780.0,,,
1915703871,"Гостевой дом ""WoodHouse""","Старошкольная улица, 20","Сочи, Россия",43.393093,39.98551,0,0.0,0,0,30269,HOTEL,18,[],,24444,0,0.0,0.31824237,Сочи - Адлерский район,7161.0,,,496.0
1917696765,,"Волоколамская улица, 79/1","Сочи, Россия",43.68282,40.20941,0,0.0,0,0,40932,HOTEL,5,[],,24443,0,0.0,0.31824237,Неизвестный район,33826.0,,,665.0
1915741910,,"Крамского улица, 6","Сочи, Россия",43.393185,39.9837,0,0.0,0,0,30158,HOTEL,3,[],,24442,0,0.0,0.31824237,Сочи - Адлерский район,7080.0,,,423.0
1917226222,,"Урицкого улица, 16/2","Сочи, Россия",43.39095,39.983913,0,0.0,0,0,30347,HOTEL,7,[],,24441,0,0.0,0.31824237,Сочи - Адлерский район,7306.0,,,226.0
1917291589,,"Штурманский переулок, 17А","Сочи, Россия",43.798283,39.455875,0,0.0,0,0,31850,HOTEL,5,[],,24440,0,0.0,0.31824237,Неизвестный район,55093.0,,,
