id,name,address,location_id,latitude,longitude,stars,rating,reviews_count,min_price,distance_to_center,property_type,photos_count,amenities,badges,check_in,check_out,popularity,popularity2,trending_speed,pois_distances,weights,district_name,checkinTime,checkoutTime,amenityFeature,address_Locality,street_Address,latitude_y,longitude_y,Otello_starRating,Otello_ratingValue,Otello_ratingCount,Otello_bestRating,Otello_worstRating
1912616045,фрателли,"ул. Тверская, д. 12, Стр. 2","Москва, Россия",55.76381,37.6072,3,8.3,0,35,1461,HOTEL,24,"1, 3, 5, 6, 10, 11, 12, 14, 18",lgbt_friendly,,,68706,146,0.0,"airport: 26633, airport: 42958, airport: 25466, metro_station: 971, metro_station: 958, metro_station: 234, metro_station: 258, metro_station: 143, train_station: 3333, train_station: 3105, train_station: 3216, train_station: 2130, train_station: 3380, airport: 39924",1.8848586,Москва - Центральный округ,,,,,,,,,,,,
22203760,гостиница на смирновской 25,Смирновская улица 25 строение 4,"Москва, Россия",55.73566,37.71303,3,8.5,159,41,6270,HOTEL,24,"0, 1, 4, 5, 6, 10, 12, 14, 17, 18",,,,68705,78,0.0,"airport: 30230, airport: 37578, airport: 31627, metro_station: 2391, metro_station: 2016, metro_station: 2929, metro_station: 1768, metro_station: 2310, train_station: 4151, airport: 32673",1.7436899,Москва - Центральный округ,,,,,,,,,,,,
277076,cronwell inn стремянная,Стремянная ул.18,"Санкт-Петербург, Россия",59.93086,30.35304,4,9.0,1434,38,2946,HOTEL,24,"0, 1, 4, 5, 6, 10, 12, 14, 18, 20","quiet, restaurants, metro, station, city",,,68704,136,0.92,"airport: 14097, metro_station: 1128, metro_station: 464, metro_station: 134, metro_station: 425, metro_station: 483, train_station: 2790, train_station: 474, train_station: 4007, beach: 2762",1.9108716,Санкт-Петербург - Центральный район,14:00:00,12:00:00,"['Wi-Fi', 'Кондиционер в номерах', 'Трансфер (платный)', 'Завтрак', 'Холодильник', 'Чайник', 'Сейф', 'Фен', 'Халат', 'Утюг', 'Тапочки', 'Круглосуточная стойка регистрации', 'Прачечная', 'Сейф', 'Хранение багажа', 'Банкетный зал', 'Конференц-зал', 'Пандус', 'Английский']",Санкт-Петербург,"Стремянная, 18",59.930907,30.353147,4.0,4.7,260.0,5.0,1.0
333428,гостиница камея,Набережная Реки Фонтанки 90 строение 6,"Санкт-Петербург, Россия",59.92455,30.33046,3,9.0,843,38,2938,HOTEL,24,"0, 1, 3, 4, 5, 6, 10, 14, 17, 18","comfort, economy, quiet, city",,,68703,146,1.22,"airport: 13230, metro_station: 709, metro_station: 633, metro_station: 382, metro_station: 618, metro_station: 438, train_station: 3765, train_station: 1781, train_station: 2617, beach: 2721",1.8784475,Санкт-Петербург - Центральный район,,,,,,,,,,,,
277087,мартин отель,Марата улица 12,"Санкт-Петербург, Россия",59.92967,30.35462,4,9.2,754,59,3103,HOTEL,24,"0, 1, 3, 4, 5, 6, 10, 12, 14, 18",,,,68701,61,1.25,"airport: 13983, metro_station: 435, metro_station: 197, metro_station: 389, metro_station: 497, metro_station: 992, train_station: 2919, train_station: 356, train_station: 3989, beach: 2917",1.8948628,Санкт-Петербург - Центральный район,,,,,,,,,,,,
1310988065,ибис москва киевская,"Улица Киевская, 2","Москва, Россия",55.74343,37.56252,3,8.7,9366,56,3583,HOTEL,24,"0, 1, 3, 4, 5, 6, 8, 9, 10, 14, 17, 18, 20","shopping, metro, transport, city",,,68699,1181,0.2,"airport: 23039, airport: 42259, airport: 26405, metro_station: 1025, metro_station: 1777, metro_station: 1397, metro_station: 1414, metro_station: 167, ski_lift: 3731, ski_lift: 4075, train_station: 3777, train_station: 164, airport: 41199",2.0767004,Москва - Центральный округ,,,,,,,,,,,,
1769457998,мини-отель florinn,улица Тверская дом 12 строение 7 помещение 5,"Москва, Россия",55.76433,37.60821,3,8.9,0,50,1487,HOTEL,24,"1, 4, 5, 10, 12, 14, 18",,,,68697,141,0.0,"airport: 26718, airport: 42983, airport: 25445, metro_station: 967, metro_station: 168, metro_station: 280, metro_station: 945, metro_station: 174, train_station: 3252, train_station: 3023, train_station: 3136, train_station: 2145, train_station: 3329, airport: 39902",1.9446008,Москва - Центральный округ,,,,,,,,,,,,
1899748026,отель симонов парк,"улица Восточная, д.10, Москва","Москва, Россия",55.71421,37.65944,3,8.9,0,52,4967,HOTEL,24,"1, 4, 6, 10, 12, 14, 18",,,,68696,45,0.0,"airport: 26142, airport: 36578, airport: 31872, metro_station: 2057, metro_station: 1864, metro_station: 856, metro_station: 1987, metro_station: 1137, ski_lift: 4870, train_station: 4909, airport: 34315",1.9440325,Москва - Центральный округ,,,,,,,,,,,,
333666,crowne plaza moscow - третьяковская,"Озерковская набережная, 26","Москва, Россия",55.73938,37.63666,4,9.1,3417,63,1853,HOTEL,24,"0, 1, 4, 5, 6, 9, 10, 12, 14, 17, 18, 20","luxury, romantic, comfort, business, quiet, wellness",,,68695,788,0.08,"airport: 26387, airport: 39716, airport: 28731, metro_station: 1097, metro_station: 571, metro_station: 1088, metro_station: 686, metro_station: 1174, train_station: 4262, train_station: 4338, train_station: 4166, train_station: 4055, train_station: 2579, airport: 36929",1.9433984,Москва - Центральный округ,,,,,,,,,,,,
1908196961,отель vogue,"ул. Крепостная, д. 51, корп. 2, помещение № 4","Геленджик, Россия",44.89135,37.30523,4,9.0,0,40,1175,HOTEL,24,"0, 1, 4, 5, 6, 9, 10, 12, 18",,,,68692,74,0.0,"airport: 1317, 71669: 66798, beach: 1480, beach: 753, beach: 831, airport: 41262, beach: 573, beach: 831",1.940781,Неизвестный район,,,,,,,,,,,,
